id,parameter_set_id,source,qualifier,amount,units
138,41,Incentive,min,0.0000,$/kWh
321,132,Incentive,,250.0000,$/Unit
322,133,Incentive,,25.0000,$/Unit
323,134,Incentive,max,1500.0000,$
411,152,Incentive,,0.0000,$/kWh
412,152,Incentive,,800.0000,$/kW
413,152,Incentive,max,50.0000,"% of cost"
414,153,Incentive,,800.0000,$/kW
415,153,Incentive,,1250.0000,$/kW
416,153,Incentive,,0.0000,$/kWh
418,154,Incentive,max,75.0000,"% of cost"
419,154,Incentive,max,100000.0000,$
420,154,Incentive,max,10.0000,Years
453,167,Incentive,,0.0000,$/kWh
497,189,Incentive,,2.0000,$/W-DC
498,189,Incentive,max,15000.0000,$
499,190,Incentive,,1.0000,$/W-DC
500,190,Incentive,max,30000.0000,$
911,359,Incentive,max,6000.0000,$
912,359,Incentive,max,5.0000,Years
1213,451,Incentive,,75.0000,$/kW
1214,451,Incentive,,275.0000,$/kW
1215,451,Incentive,,0.0700,"$/kWh (1 year)"
1216,451,Incentive,max,1.0000,$
1343,79,System,,,
1567,676,Incentive,min,2500.0000,$/Unit
1568,676,Incentive,max,30000.0000,$
1607,692,Incentive,max,300.0000,$
1734,758,Incentive,,0.1500,$/kWh
1735,759,System,max,20.0000,kW
1736,760,System,max,50.0000,kW-AC
2077,969,Incentive,,50.0000,$/Unit
2078,970,Incentive,,15.0000,$/Unit
2079,971,Incentive,min,375.0000,$/Unit
2080,971,Incentive,max,475.0000,$
2081,972,Incentive,min,50.0000,$/Unit
2082,972,Incentive,max,170.0000,$
2083,973,Incentive,,20.0000,%
2084,973,Incentive,max,300.0000,$
2085,974,Incentive,min,70.0000,$/Unit
2086,974,Incentive,max,325.0000,$
2087,975,Incentive,,20.0000,%
2088,975,Incentive,max,40.0000,$
2089,976,Incentive,,1.0000,$/bulb
2090,976,System,max,20.0000,
2091,977,Incentive,,7.0000,$/lamp
2092,977,System,max,20.0000,
2489,109,Incentive,max,900000.0000,$
2490,109,Incentive,max,30.0000,"% of cost"
2502,1084,Incentive,,100.0000,%
2503,1085,Incentive,,150.0000,$/Unit
2504,1086,Incentive,,900.0000,$/Unit
2512,1094,Incentive,,1.2500,$/MWh
2549,1109,Incentive,,100.0000,$/Unit
2550,1110,Incentive,,500.0000,$/ton
2551,1111,Incentive,,300.0000,$/ton
2552,1112,Incentive,,30.0000,%
2553,1112,Incentive,max,500.0000,$
2554,1113,Incentive,min,200.0000,$/Unit
2555,1113,Incentive,max,400.0000,$
2558,1114,Incentive,,2250.0000,$/Unit
2559,1114,Incentive,max,50.0000,"% of cost"
2560,1103,Incentive,max,2250.0000,$
2561,1103,Incentive,max,50.0000,"% of cost"
2573,492,Incentive,,1000.0000,$/kW
2574,492,Incentive,max,3000.0000,$
2575,492,System,max,10.0000,kW
2576,493,Incentive,,1000.0000,$/kW
2577,493,Incentive,max,10000.0000,
2578,493,System,max,10.0000,kW
2657,1153,Incentive,min,250.0000,$/Unit
2658,1153,Incentive,max,450.0000,$
2659,1154,Incentive,,400.0000,$/Unit
2660,1155,Incentive,min,600.0000,$/Unit
2661,1155,Incentive,max,3000.0000,$
2662,1156,Incentive,max,250.0000,$
2663,1157,Incentive,,125.0000,$/Unit
2720,1166,Incentive,min,0.4500,"$/square foot"
2721,1167,Incentive,min,75.0000,$/ton
2722,1168,Incentive,,45.0000,$/ton
2723,1169,Incentive,,55.0000,$/ton
2724,1170,Incentive,,49.0000,$/ton
